account,category,trigger_url,trigger_note,buyer_hypothesis,likely_pain,recommended_offer,priority,caveat,next_action
GitHub Copilot Enterprise customers,Platform pool,https://docs.github.com/copilot/how-tos/copilot-on-github/customize-copilot/configure-mcp-servers,GitHub documents MCP server configuration for Copilot agents and autonomous tool execution,AppSec or VP Engineering,Autonomous agent tools with repo/org access,MCP Enterprise Readiness Audit,P1,Pool requires account-level qualification,Find companies publicly discussing Copilot coding agent rollout
GitHub MCP Server users,Developer-tool pool,https://docs.github.com/en/copilot/how-tos/provide-context/use-mcp-in-your-ide/use-the-github-mcp-server,GitHub MCP can expose repository and issue workflows through MCP clients,DevSecOps or platform engineering,PAT scope and repository access review,MCP Launch Audit,P1,GitHub also has native controls,Search public repos/docs mentioning GitHub MCP server usage
Slack Enterprise Grid MCP users,Collaboration/security pool,https://slack.com/help/articles/48855576908307-Guide-to-Model-Context-Protocol-in-Slack,Slack MCP apps can search/read/send messages and create canvases,IT security or collaboration admin,Internal messages and workspace data exposure,MCP Enterprise Readiness Audit,P1,Large accounts may use Salesforce/Slack advisory,Search Slack admin/security community posts about MCP apps
Atlassian Cloud / Rovo users,EngOps/security pool,https://github.com/atlassian/atlassian-mcp-server,Official server connects Jira Confluence JSM Bitbucket Compass to AI clients,Atlassian admin or EngOps leader,Jira/Confluence/Bitbucket write actions from agents,MCP Enterprise Readiness Audit,P1,Best fit for multi-tool enterprises,Search for companies adopting Atlassian Rovo plus AI agents
Claude Code enterprise users,AI coding pool,https://code.claude.com/docs/en/mcp,Claude Code connects to tools databases and APIs via MCP,Engineering leadership or AppSec,Developer machine credentials and internal tool access,MCP Launch Audit,P1,Anthropic guidance overlaps,Search launch posts/job posts mentioning Claude Code MCP
Cursor Teams / Enterprise users,AI coding pool,https://cursor.com/docs/mcp,Cursor supports MCP and community has MCP tool security concerns,AI devtools owner or AppSec,Shadow MCP configs on developer machines,MCP Launch Audit,P1,Forum signal does not prove deployment,Search Cursor forum/GitHub mentions for MCP rollout pain
Langdock customers,AI platform pool,https://docs.langdock.com/en/using-langdock/integrations/mcp-directory,Langdock lists many official remote MCP servers for agents and workflows,AI platform admin,Multiple official MCP integrations and governance gaps,MCP Enterprise Readiness Audit,P2,Need identify actual Langdock-heavy teams,Search companies mentioning Langdock MCP workflows
Cloudflare MCP users,Cloud platform pool,https://docs.langdock.com/en/using-langdock/integrations/mcp-directory,Cloudflare MCP can manage Workers KV R2 and bindings,Platform engineering or cloud security,Agent infra write permissions,MCP Enterprise Readiness Audit,P1,Product-level evidence,Search public MCP configs mentioning Cloudflare Workers
Stripe MCP users,Payments/security pool,https://docs.langdock.com/en/using-langdock/integrations/mcp-directory,Stripe MCP can touch payment and subscription data,Payments engineering or security,Financial data and payment workflow exposure,MCP Enterprise Readiness Audit,P1,Many teams may keep access read-only,Search public docs/posts about Stripe MCP in agent workflows
Supabase MCP users,Startup/backend pool,https://docs.langdock.com/en/using-langdock/integrations/mcp-directory,Supabase MCP can manage backend projects and data,Startup CTO or platform engineering,Database/backend authority in AI coding workflows,MCP Launch Audit,P1,SMB price sensitivity,Search GitHub for Supabase MCP configs in startups
Neon MCP users,Database platform pool,https://docs.langdock.com/en/using-langdock/integrations/mcp-directory,Neon MCP manages serverless Postgres databases and branches,Infra or database platform lead,Agent-created DB branches and data access,MCP Launch Audit,P2,Oftens starts in dev/test,Search Neon MCP references in devtools communities
Vercel MCP users,Deployment platform pool,https://docs.langdock.com/en/using-langdock/integrations/mcp-directory,Vercel MCP can deploy manage and monitor projects and functions,Frontend platform or DevOps,Deployment permissions in agent workflows,MCP Launch Audit,P1,Vercel has strong first-party docs,Search public project docs mentioning Vercel MCP
Netlify MCP users,Deployment platform pool,https://docs.langdock.com/en/using-langdock/integrations/mcp-directory,Netlify MCP can build deploy and manage projects/functions,DevOps or web platform,Deployment permissions in agent workflows,MCP Launch Audit,P2,Qualify by regulated/customer-facing apps,Search Netlify MCP mentions in AI app teams
PagerDuty MCP users,Incident/security pool,https://docs.langdock.com/en/using-langdock/integrations/mcp-directory,PagerDuty MCP can manage incidents schedules and escalations,SRE leadership or security,Incident workflow actions through agents,MCP Enterprise Readiness Audit,P1,Smaller pool but high operational risk,Search incident automation teams using MCP
Notion MCP users,Knowledge/security pool,https://docs.langdock.com/en/using-langdock/integrations/mcp-directory,Notion MCP can access docs and workspace content,IT knowledge management or security,Internal docs and workspace content exposure,MCP Launch Audit,P2,Many deployments are personal/team level,Search Notion MCP rollout posts and workspace admin discussions
PostHog MCP users,Product/data pool,https://docs.langdock.com/en/using-langdock/integrations/mcp-directory,PostHog MCP exposes analytics flags and error tracking,Product engineering or data governance,PII analytics and feature flag exposure,MCP Launch Audit,P2,Sensitivity depends on event capture,Search public PostHog MCP implementation mentions
Ramp MCP users,Finance/security pool,https://docs.langdock.com/en/using-langdock/integrations/mcp-directory,Ramp MCP can touch spend and finance workflows,Finance IT security or compliance,Finance data exposure and spend workflow actions,MCP Enterprise Readiness Audit,P1,Trust-heavy sale,Search finance ops AI agent case studies
Linear MCP users,EngOps pool,https://docs.langdock.com/en/using-langdock/integrations/mcp-directory,Linear MCP handles issue and project workflows,EngOps or startup CTO,Roadmap and ticket workflow changes,MCP Quick Audit,P3,Lower compliance pressure,Search Linear MCP users in dev communities
Goose community,Open-source agent pool,https://github.com/aaif-goose/goose,Goose connects to MCP extensions and local agents,OSS maintainer or platform team,Local credentials and custom extensions,MCP Quick Audit,P2,Community channel may not have budget,Post helpful technical content before direct offers
Cursor security discussion participants,Community signal,https://forum.cursor.com/t/enhance-mcp-and-native-tool-security/76324,Community asks for stronger MCP/native tool security,AI coding community and AppSec,Shadow tools and tool execution approval,MCP Quick Audit,P2,Do not scrape personal contacts,Use community content/launch post rather than direct personal outreach
